index,coordx,coordz
105,104.97900419916017,1.0
106,105.97880423915217,1.0
107,106.97860427914418,1.0
108,107.97840431913617,1.0
109,108.97820435912817,1.0
110,109.97800439912018,1.0
111,110.97780443911218,1.0
112,111.97760447910419,1.0
113,112.97740451909618,1.0
114,113.97720455908818,1.0
115,114.97700459908019,1.0
116,115.97680463907218,1.0
117,116.9766046790642,1.0
118,117.97640471905619,1.0
119,118.97620475904819,1.0
120,119.9760047990402,1.0
121,120.9758048390322,1.0
122,121.9756048790242,1.0
123,122.9754049190162,1.0
124,123.9752049590082,1.0
125,124.9750049990002,1.0
126,125.9748050389922,1.0
127,126.97460507898421,1.0
128,127.97440511897621,1.0
129,128.9742051589682,1.0
130,129.9740051989602,1.0
131,130.97380523895222,1.0
132,131.9736052789442,1.0
133,132.97340531893622,1.0
134,133.97320535892823,1.0
135,134.9730053989202,1.0
136,135.97280543891222,1.0
137,136.97260547890423,1.0
138,137.9724055188962,1.0
139,138.97220555888822,1.0
140,139.97200559888023,1.0
141,140.97180563887224,1.0
142,141.97160567886422,1.0
143,142.97140571885623,1.0
144,143.97120575884824,1.0
145,144.97100579884022,1.0
146,145.97080583883223,1.0
147,146.97060587882424,1.0
148,147.97040591881623,1.0
149,148.97020595880824,1.0
150,149.97000599880025,1.0
151,150.96980603879226,1.0
152,151.96960607878424,1.0
153,152.96940611877625,1.0
154,153.96920615876826,1.0
155,154.96900619876024,1.0
156,155.96880623875225,1.0
157,156.96860627874426,1.0
158,157.96840631873624,1.0
159,158.96820635872825,1.0
160,159.96800639872026,1.0
161,160.96780643871227,1.0
162,161.96760647870425,1.0
163,162.96740651869627,1.0
164,163.96720655868828,1.0
165,164.96700659868026,1.0
166,165.96680663867227,1.0
167,166.96660667866428,1.0
168,167.96640671865626,1.0
169,168.96620675864827,1.0
170,169.96600679864028,1.0
171,170.9658068386323,1.0
172,171.96560687862427,1.0
173,172.96540691861628,1.0
174,173.9652069586083,1.0
175,174.96500699860027,1.0
176,175.96480703859228,1.0
177,176.9646070785843,1.0
178,177.96440711857628,1.0
179,178.96420715856829,1.0
180,179.9640071985603,1.0
181,180.9638072385523,1.0
182,181.9636072785443,1.0
183,182.9634073185363,1.0
184,183.9632073585283,1.0
185,184.9630073985203,1.0
186,185.9628074385123,1.0
187,186.9626074785043,1.0
188,187.9624075184963,1.0
189,188.9622075584883,1.0
190,189.9620075984803,1.0
191,190.96180763847232,1.0
192,191.9616076784643,1.0
193,192.96140771845631,1.0
194,193.96120775844832,1.0
195,194.9610077984403,1.0
196,195.96080783843232,1.0
197,196.96060787842433,1.0
198,197.9604079184163,1.0
199,198.96020795840832,1.0
200,199.96000799840033,1.0
201,200.95980803839234,1.0
202,201.95960807838432,1.0
203,202.95940811837633,1.0
204,203.95920815836834,1.0
205,204.95900819836032,1.0
206,205.95880823835233,1.0
207,206.95860827834434,1.0
208,207.95840831833632,1.0
209,208.95820835832833,1.0
210,209.95800839832035,1.0
211,210.95780843831236,1.0
212,211.95760847830434,1.0
213,212.95740851829635,1.0
214,213.95720855828836,1.0
215,214.95700859828034,1.0
216,215.95680863827235,1.0
217,216.95660867826436,1.0
218,217.95640871825634,1.0
219,218.95620875824835,1.0
220,219.95600879824036,1.0
221,220.95580883823237,1.0
222,221.95560887822435,1.0
223,222.95540891821636,1.0
224,223.95520895820837,1.0
225,224.95500899820036,1.0
226,225.95480903819237,1.0
227,226.95460907818438,1.0
228,227.95440911817636,1.0
229,228.95420915816837,1.0
230,229.95400919816038,1.0
231,230.9538092381524,1.0
232,231.95360927814437,1.0
233,232.95340931813638,1.0
234,233.9532093581284,1.0
235,234.95300939812037,1.0
236,235.95280943811238,1.0
237,236.9526094781044,1.0
238,237.95240951809637,1.0
239,238.95220955808838,1.0
240,239.9520095980804,1.0
241,240.9518096380724,1.0
242,241.9516096780644,1.0
243,242.9514097180564,1.0
244,243.9512097580484,1.0
245,244.9510097980404,1.0
246,245.9508098380324,1.0
247,246.9506098780244,1.0
248,247.9504099180164,1.0
249,248.9502099580084,1.0
250,249.9500099980004,1.0
251,250.94981003799242,1.0
252,251.9496100779844,1.0
253,252.9494101179764,1.0
254,253.94921015796842,1.0
255,254.9490101979604,1.0
256,255.94881023795242,1.0
257,256.9486102779444,1.0
258,257.9484103179364,1.0
259,258.9482103579284,1.0
260,259.9480103979204,1.0
261,260.94781043791244,1.0
262,261.94761047790445,1.0
263,262.9474105178964,1.0
264,263.9472105578884,1.0
265,264.9470105978804,1.0
266,265.94681063787243,1.0
267,266.94661067786444,1.0
268,267.94641071785645,1.0
269,268.94621075784846,1.0
270,269.9460107978404,1.0
271,270.9458108378324,1.0
272,271.94561087782444,1.0
273,272.94541091781645,1.0
274,273.94521095780846,1.0
275,274.94501099780047,1.0
276,275.9448110377924,1.0
277,276.94461107778443,1.0
278,277.94441111777644,1.0
279,278.94421115776845,1.0
280,279.94401119776046,1.0
281,280.94381123775247,1.0
282,281.9436112777445,1.0
283,282.94341131773643,1.0
284,283.94321135772844,1.0
285,284.94301139772045,1.0
286,285.94281143771246,1.0
287,286.9426114777045,1.0
